issue,theme,긍정,부정,중립,total
물량 부족,불만 및 개선점,0,1,0,1
미라클모닝,기타,1,0,0,1
미러링 기능,사용 경험 및 기능,1,0,0,1
미러링 쉬움,연결 및 미러링,1,0,0,1
미착용 상태에서 긍정적 느낌,특별한 용도 및 추천,1,0,0,1
박스 수거,배송 및 설치 서비스,1,0,0,1
반응성 좋음,기술 및 성능,1,0,0,1
반응속도,기타,1,0,0,1
반품 귀찮음,기타,0,0,1,1
반품 후 새상품 수령,문제 및 불만족,1,0,0,1
방에서 TV 시청 가능,특별한 용도 및 추천,1,0,0,1
방에서 시청,공간 및 이동성,1,0,0,1
방에서 영상 시청 좋음,기타,1,0,0,1
방에서 편리한 시청,사용 편의성,1,0,0,1
부드러운 바퀴,특별한 용도 및 추천,1,0,0,1
부드러운 이동,사용 편의성,1,0,0,1
부르마블 게임 즐거움,특별한 용도,1,0,0,1
사용 후기 신뢰,기타,1,0,0,1
사용할수록 편리,사용 편의성,1,0,0,1
사운드 만족,화질 및 사운드,1,0,0,1
사운드 체크 동영상,기타,0,0,1,1
사이즈 만족,기타,1,0,0,1
사전 안내 부족,문제점 및 개선점,0,1,0,1
사전 전화 안내,배송 및 설치 서비스,1,0,0,1
사진 로딩 불편,기타,0,1,0,1
사진 업로드 문제,불만 및 개선점,0,1,0,1
상품 상태 양호,상품 품질 및 가성비,1,0,0,1
새집 인테리어와 잘 어울림,제품 외관 및 첫인상,1,0,0,1
생각보다 좋은 화질,제품 기능 및 성능,1,0,0,1
생각보다 큼,기타,0,0,1,1
생일선물 성공,선물 및 특별한 순간,1,0,0,1
생활 윤택,제품 만족도 및 기능,1,0,0,1
생활의 질 향상,제품 만족도 및 기능,1,0,0,1
서라운드 모드,화질 및 사운드,1,0,0,1
서비스 만족,사용 만족도,1,0,0,1
선물,기타,0,0,1,1
선물로 보냄,기타,1,0,0,1
선물로 좋음,가족 및 아이들 사용,1,0,0,1
선물용 구매,기타,0,0,1,1
선물용으로 좋음,선물 및 구매 만족,1,0,0,1
설거지 시청,시청 환경 및 편의성,1,0,0,1
설명 제공,기타,1,0,0,1
설정 편리,기타,1,0,0,1
설치 및 설명 제공,배송 및 설치,1,0,0,1
설치 불필요,사용 편의성,1,0,0,1
설치 빠름,설치 및 배송 서비스,1,0,0,1
설치 설명,배송 및 설치 서비스,1,0,0,1
사용성,사용 만족도,1,0,0,1
사용 편안,사용 경험 및 기능,1,0,0,1
부모님 선물,사용 환경 및 상황,1,0,0,1
사용 전 기대,사용 만족도,1,0,0,1
부모님 선물 적합,특별한 용도 및 환경,1,0,0,1
부모님댁 설치 만족,선물 및 가정용 적합성,1,0,0,1
부피 크고 무거움,제품 크기 및 무게,0,0,1,1
분위기 내기 좋음,기타,1,0,0,1
불멍 가능,특별한 용도,1,0,0,1
불멍 용도,특별한 용도,0,0,1,1
불편한 화면 틸트 기능,기타,0,1,0,1
브랜드 선호,브랜드 및 제품 신뢰,1,0,0,1
블루투스 스피커 역할,기능 및 성능,1,0,0,1
블루투스 스피커 연결,기타,1,0,0,1
비교불가,기타,1,0,0,1
빔프로젝터 대체,기타,1,0,0,1
빔프로젝터에서 제품으로 변경,기타,1,0,0,1
빠른 답변,설치 및 배송 서비스,1,0,0,1
빠른 문의 답장,구매 및 서비스 경험,1,0,0,1
빠른 반응,사용 편의성,1,0,0,1
빠른 방전,기타,0,1,0,1
빠른 배송 및 설치,설치 및 배송 서비스,1,0,0,1
빠른 설치 및 배송,설치 및 배송 서비스,1,0,0,1
빠른 설치 안내,설치 및 배송 서비스,1,0,0,1
빠른 속도,기타,1,0,0,1
빠른 응답속도,사용 편의성 및 기능,1,0,0,1
빵빵한 사운드,제품 성능 및 기능,1,0,0,1
사기 의심,배송 및 설치 서비스,0,1,0,1
사무실 휴대용,교육 및 업무 활용,0,0,1,1
사실적인 영상 업데이트 필요,기타,0,0,1,1
사용 미정,기타,0,0,1,1
사용 안내 아쉬움,사용 안내,0,1,0,1
사용 예정,기타,0,0,1,1
힐링 효과,사용 만족도,1,0,0,1
